Date,Name,NRIC,Shop Name,Address,Total Amount
['11-24-2017'],[],[],[],[],"['$0.01', '$8.80', '$3.66', '$3.66', '$2.15', '$7.57', '$25.85', '$2.46', '$28.31', '$40.00', '$11.69']"
[],[],[],[],[],[]
['16/29/2019'],[],[],[],[],[]
['09/15/2018'],[],[],[],[],"['$3.95', '$4.75', '$5.27', '$5.80']"
"['12/28/2017', '12/29/2017']",[],[],[],[],['$42.74']
[],[],[],[],[],"['$36.86', '$8.50', '$0.00', '$4.20', '$3.95', '$2.25', '$59.11', '$5.32', '$64.43', '$64.43', '$0.00']"
[],[],[],[],[],"['$2.45', '$4.95', '$4.95', '$1.25', '$1.25', '$1.52', '$0.15', '$0.04', '$16.56', '$12.40', '$2.45']"
['03/10/2018'],[],[],[],[],[]
[],[],[],[],[],[]
['07/15/2016'],[],[],[],[],[]
[],[],[],[],[],[]
['9/19/2019'],[],[],[],[],"['$9.94', '$2.17', '$8.67', '$6.67', '$27.45', '$2.53', '$23.53']"
[],[],[],[],[],[]
['01/13/2012'],[],[],[],[],[]
['7/26/2019'],[],[],[],[],[]
[],[],[],[],[],"['$14.90', '$18.90', '$22.90', '$56.70', '$5.10', '$61.80']"
['09/08/2017'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$1.45', '$1.45', '$5.50', '$4.50', '$2.95', '$2.95', '$2.50', '$2.95', '$2.13']"
['10/25/2018'],[],[],[],[],[]
[],[],[],[],[],[]
['03/22/13'],[],[],[],[],[]
[],[],[],[],[],"['$13.00', '$5.00', '$3.00', '$8.00', '$7.00', '$10.00', '$3.50', '$49.50', '$4.70', '$54.20']"
[],[],[],[],[],"['$7.95', '$25.34', '$2.28', '$27.62', '$3.80', '$4.56', '$5.07']"
['09/25/18'],[],[],[],[],"['$16.00', '$9.95', '$16.95', '$42.90', '$4.08']"
[],[],[],[],[],[]
[],[],[],[],[],"['$9.00', '$0.00', '$12.00', '$0.00', '$0.00', '$16.00', '$3.00', '$12.00', '$4.00', '$56.00', '$10.08', '$69.79']"
[],[],[],[],[],[]
['05/11/18'],[],[],[],[],"['$12.00', '$17.00', '$12.00', '$11.00', '$10.00', '$36.00', '$12.00', '$10.00', '$11.00', '$131.00', '$143.71']"
[],[],[],[],[],"['$154.78', '$25.56', '$28.40', '$31.24']"
['06/10/17'],[],[],[],[],[]
[],[],[],[],[],"['$3.00', '$7.00', '$2.00', '$2.99', '$2.99', '$1.00', '$2.99', '$1.00', '$2.99', '$2.99', '$28.95', '$2.08']"
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$7.99', '$7.99', '$1.00', '$2.50', '$3.50', '$22.98', '$1.61', '$3.45', '$28.04', '$28.04']"
[],[],[],[],[],[]
['12/6/2017'],[],[],[],[],[]
['03/14/2015'],[],[],[],[],['$62.70']
[],[],[],[],[],[]
['7/10/2017'],[],[],[],[],['$33.34']
"['6/1/2013', '6/1/2013']",[],[],[],[],['$21.69']
[],[],[],[],[],"['$115.50', '$16.50', '$8.95', '$22.40', '$146.85', '$13.22', '$160.07']"
[],[],[],[],[],[]
['4/24/2016'],[],[],[],[],[]
['07/03/2015'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$1.75', '$8.00', '$1.75', '$10.00', '$21.50', '$22.87']"
[],[],[],[],[],[]
['7/18/19'],[],[],[],[],"['$6.00', '$4.00', '$6.00', '$4.00', '$54.00', '$0.00', '$0.00', '$74.00', '$3.49', '$77.49', '$38.75']"
[],[],[],[],[],[]
[],['LEANNE oN\nGuests'],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],['$ 13.00']
['4/20/2018'],[],[],[],[],"['$27.00', '$12.00', '$145.00', '$12.51', '$157.51', '$157.51']"
['12/22/2017'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
['12/2/2017'],[],[],[],[],[]
['07/21/2018'],[],[],[],[],[]
[],[],[],[],[],"['$12.95', '$12.95', '$3.95', '$29.85', '$14.93', '$1.32', '$16.24', '$14.93']"
['12/17/2017'],[],[],[],[],[]
['12/20/17'],[],[],[],[],[]
['09/24/2018'],[],[],[],[],['$94.18']
[],[],[],[],[],[]
['30/29/2018'],[],[],[],[],[]
[],[],[],[],[],"['$6.50', '$0.00', '$2.00', '$9.00', '$0.97', '$9.97']"
[],[],[],[],[],[]
[],[],[],[],[],"['$10.28', '$0.62', '$10.90']"
[],[],[],[],[],"['$13.50', '$1.00', '$1.25', '$1.48', '$16.23']"
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$11.95', '$1.95', '$3.95', '$17.85', '$1.25', '$19.10']"
[],[],[],[],[],[]
[],[],[],[],[],[]
['3/16/2013'],[],[],[],[],[]
['8/30/2015'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],['$33.75']
['08/15/2017'],[],[],[],[],"['$30.06', '$36.74']"
[],[],[],[],[],"['$1.06', '$13.03', '$13.03']"
[],[],[],[],[],['$ 158.87']
"['5/22/2014', '5/22/2014']",[],[],[],[],['$14.36']
[],[],[],[],[],[]
[],[],[],[],[],[]
['02/11/19'],[],[],[],[],"['$13.95', '$3.00', '$19.95', '$17.00', '$16.00', '$17.95', '$3.44', '$73.34']"
['10-20-2018'],[],[],[],[],[]
['5/19/2019'],[],[],[],[],[]
['05-11-2018'],[],[],[],[],[]
['6/28/2019'],[],[],[],[],"['$1.00', '$1.50', '$2.00']"
['01-27-2048'],[],[],[],[],[]
['5/26/2016'],[],[],[],[],[]
[],[],[],[],[],[]
['2/13/2018'],[],[],[],[],['$17.18']
[],[],[],[],[],['$3.41']
['1/23/18'],[],[],[],[],"['$15.00', '$18.00', '$9.50', '$42.50', '$3.29', '$45.79', '$45.79', '$7.65', '$53.44', '$8.50', '$54.29', '$9.35', '$55.14']"
[],[],[],[],[],[]
[],[],[],[],[],[]
['3/10/2017'],[],[],[],[],[]
['06/24/2018'],[],[],[],[],[]
['08/09/19'],[],[],[],[],"['$12.99', '$2.50', '$28.48', '$30.76']"
['2/1/20'],[],[],[],[],['$18.00']
"['7/1/2018', '7/1/2018']",[],[],[],[],"['$18.00', '$36.00', '$42.00', '$10.50', '$3.75']"
[],[],[],[],[],[]
['01/11/2019'],[],[],[],[],"['$42.75', '$41.31']"
[],[],[],[],[],[]
[],[],[],[],[],"['$4.00', '$8.75', '$0.83', '$9.58']"
[],[],[],[],[],"['$4.50', '$48.00', '$8.50', '$33.00']"
[],[],[],[],[],"['$10.00', '$2.25', '$12.25', '$1.07', '$13.26']"
[],[],[],[],[],[]
[],[],[],[],[],"['$11.99', '$1.14', '$13.13']"
[],[],[],[],[],"['$4.00', '$5.00', '$2.50', '$8.85', '$8.35', '$0.75', '$15.70', '$7.85', '$5.00', '$0.75', '$4.35', '$51.25', '$5.25', '$56.50', '$60.00', '$3.50']"
[],[],[],[],[],[]
['9/27/2017'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
['11/6/2013'],[],[],[],[],[]
['14/07/2019'],[],[],[],[],[]
['04/13/18'],[],[],[],[],"['$41.95', '$10.49', '$2.94', '$55.38', '$8.99', '$9.65', '$10.49']"
['02/02/19'],[],[],[],[],"['$5.25', '$9.95', '$8.75', '$8.75', '$32.70', '$2.82', '$35.52']"
[],[],[],[],[],[]
['11/01/2018'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
['4/20/2017'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$5.98', '$7.17', '$7.97']"
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
['2/03/18'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],[]
['02/12/2016'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$5.95', '$14.95', '$16.95', '$16.95', '$4.00', '$50.00', '$108.80', '$9.66', '$118.46', '$118.46']"
['04/10/16'],[],[],[],[],"['$10.00', '$10.00', '$0.70', '$10.70', '$10.70']"
[],[],[],[],[],['$29.86']
[],[],[],[],[],"['$19.95', '$91.95']"
[],[],[],[],[],[]
[],[],[],[],[],[]
['09/12/2012'],[],[],[],[],[]
[],[],[],[],[],[]
[],[],[],[],[],"['$9.50', '$0.00', '$1.30', '$0.50', '$1.00', '$0.75', '$0.00', '$13.05', '$1.01', '$14.06']"
